"county","year","subrur","temp","frost","sparr","blabi","bluti","coldo","chaff","coati","grefi","greti","housp","robin","starl"
"Cambridgeshire",31,1,2.984,-0.0900803638,0.0153846154,2.2527195028,2.2894716398,2.7669930074,1.801655012,0.4863636366,1.8919580422,1.1157498058,8.5506293724,1.1649028754,9.2785003892
"Cambridgeshire",32,1,3.9706666664,-0.2020948792,0.0230769232,2.528787879,1.40967366,2.707692308,2.0402097904,0.3804195808,1.7104895106,1.1306526808,7.8913752926,1.2707459212,8.8984848484
"Cambridgeshire",33,1,3.2983333332,0.00556726420000001,0.0153846156,2.9052564106,1.4961965814,2.0383333336,1.7530769234,0.3606410258,2.0830769232,1.2329059832,9.4235042756,1.2904700856,7.197948718
"Cambridgeshire",34,1,3.4,-0.0345954532,0.0307692308,2.6823176828,1.5213036966,2.8087412592,1.297902098,0.2886363636,1.923776224,1.2085081586,8.5923243444,1.045670996,6.8587329348
"Cambridgeshire",35,1,3.73875,-0.20789874,0.0402097905,3.095425408,1.8695367135,3.36327214475,1.68291083925,0.3238636365,1.85744463875,1.4336392775,10.0240384625,1.0236742425,6.06504953375
"Cambridgeshire",36,1,3.15333333325,0.1546974705,0.0969551285,2.53125000025,1.68429487225,4.44791666675,1.713141026,0.3974358975,3.54086538425,1.48637820525,7.32211538675,1.18509615425,4.90384615425
"Cornwall",11,0,4.665,-0.958337956,0,1.615384615,8.038461539,0,2.653846154,0,2.76923077,2.115384616,0.076923077,0.961538462,2
"Cornwall",12,0,4.408333333,-1.33500853,0,1.307692308,8,0,3.461538462,0,1.692307692,2.076923077,0,1.153846154,6.307692308
"Cornwall",13,0,4.681666667,-1.603146904,0,0.993589744,5.192307693,0,3.381410257,0,1.073717949,2.118589744,0,1.115384616,1.269230769
"Cornwall",14,0,4.516666667,-0.92061286,0,1.317307693,6.698717949,0,7.150641026,0,4.368589744,3.291666667,0,1.474358974,9.278846154
"Cornwall",15,0,3.986666667,-0.498672172,0,1.038461539,5.461538462,0.153846154,3.230769231,0,0.653846154,2.884615385,0,1.615384616,5.461538462
"Cornwall",16,0,3.666666667,-0.044229862,0,0.884615385,8.576923076,0,2.846153846,0,2.923076923,4,0.230769231,0.26923077,3.038461539
"Cornwall",17,0,4.185,-0.770873249,0,1.346153846,8.373076923,0,3.715384616,0.1,4.676923077,4.169230769,0.961538462,1.230769231,2.511538462
"Cornwall",18,0,5.095,-2.103439715,0,0.846153846,7.307692308,0,4.730769231,0,5.653846154,3.038461539,1.846153846,1,0.115384616
"Cornwall",19,0,5.73,-1.711679103,0,0.996794872,6.676282051,0,5.641025641,0,5.365384616,2.477564103,1.112179488,1.233974359,0
"Cornwall",20,0,6.155,-2.506808048,0,0.515384616,5.896153846,0,4.303846154,0,4.373076923,3.411538462,1.95,0.938461539,1.838461539
"Cornwall",21,0,4.175,-0.398265378,0.038461539,1.576923077,5.538461539,0,3.230769231,0.923076924,3.961538462,2.307692308,3.461538462,0.884615385,2.461538462
"Cornwall",22,0,4.76,-1.449924976,0,0.846153846,6.692307693,1.730769231,3.961538462,0.153846154,11.92307693,3.730769231,1.692307693,1,1.538461539
"Cornwall",23,1,5.951666667,-2.762177928,0,0.923076923,1.685897436,1.993589744,0,0.041666667,0,0,7.836538462,0.996794872,16.05448718
"Cornwall",24,1,5.81,-2.856780861,0,2.545454546,1.77972028,1.905594406,0,0,0,0.045454546,7.741258741,0.909090909,15.73076923
"Cornwall",25,1,6.99,-3.173091281,0,2,1.423076923,2.538461538,0.038461539,0,0,0.038461539,13.46153847,0.807692308,10.84615385
"Cornwall",26,0.5,5.7425,-1.460371925,0.230769231,2.038461539,5.5192307695,1.5,3.3846153845,0.1346153845,0.076923077,2.4423076925,9,1.0769230775,5.653846155
"Cornwall",27,0.333333333333333,5.62333333366667,-1.70297331166667,0.0641025643333333,3.60576923133333,5.19123931633333,1.53952991466667,5.46153846166667,0.423076923,7.615384617,2.25641025633333,8.95192308,1.89316239366667,4.21901709533333
"Cornwall",28,0.4,6.7893333332,-2.5119154456,0.0461538464,3.0580419582,4.381818182,1.6335664336,5.1433566436,0.7244755248,7.0573426588,2.0111888114,6.8671328678,1.5370629374,3.2881118886
"Cornwall",29,0.4,6.2113333332,-2.3784266448,0.1153846156,2.7692307694,4.5692307684,1.8692307696,6.4230769226,0.353846154,7.2230769244,1.9384615388,6.7384615364,1.5076923078,3.3923076938
"Cornwall",30,0.4,6.2659999998,-2.6558511962,0.178846154,2.8993589748,5.0397435896,1.8762820516,6.563675214,0.753846154,6.111965813,1.7290598294,5.5702991456,1.668589744,3.9897435904
"Cornwall",31,0.4,5.9106666666,-2.7073894812,0.0615384618,2.9332556338,5.333372183,2.0083916086,6.394638696,0.476923077,5.8952797194,2.353846154,5.9984848494,1.5210567212,2.9565850812
"Cornwall",32,0.25,6.7475,-3.058465028,0.02097902125,4.14423076825,7.562937064,1.13898601425,8.6101398625,0.97115384625,8.314685315,3.71153846175,3.5882867135,1.9134615385,0.90734265775
"Cornwall",33,0.25,6.6420833335,-3.30092131775,0.076923077,4.3004807695,5.76420454475,1.75000000025,6.91663024525,0.621284965,7.24169580325,3.58205856675,4.03398164375,2.30168269225,1.14237325175
